rank,Youtuber,subscribers,video views,category,Title,uploads,Country,Abbreviation,channel_type,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,Date ,Latitude,Longitude
430,Jimmy Kimmel Live,"19,100,000","13,124,645,973",Entertainment,Jimmy Kimmel Live,"6,526",United States,US,Comedy,283,115,23,"17,243,000","$4,300.00 ","$69,000.00 ","$51,700.00 ","$827,600.00 ",0,20-Sep-06,37.09024,-95.712891
431,TheOdd1sOut,"19,100,000","4,566,120,190",Comedy,TheOdd1sOut,139,United States,US,Comedy,"1,568",115,23,"30,986,000","$7,700.00 ","$123,900.00 ","$93,000.00 ","$1,500,000.00 ",0,30-Aug-14,37.09024,-95.712891
432,Goldmines Great Indian Comedy,"19,100,000","5,194,942,269",Film & Animation,Goldmines Great Indian Comedy,"2,948",NA,NA,Film,"1,279",NA,26,"65,920,000","$16,500.00 ","$263,700.00 ","$197,800.00 ","$3,200,000.00 ","200,000",29-Aug-16,nan,nan
433,Lil Nas X,"19,100,000","6,339,584,661",Music,Lil Nas X,37,NA,NA,Music,966,NA,99,"46,192,000","$11,500.00 ","$184,800.00 ","$138,600.00 ","$2,200,000.00 ",0,19-May-18,nan,nan
434,ýýýýýýýýýýýýýý ýýýý,"19,000,000","4,924,054,368",Education,ýýýýýýýýýýýýýý ýýýý,60,United States,US,Entertainment,"1,399",116,111,"21,587,000","$5,400.00 ","$86,300.00 ","$64,800.00 ","$1,000,000.00 ","100,000",20-Feb-18,37.09024,-95.712891
435,SUPER SLICK SLIME SAM,"19,000,000","7,229,175,322",Howto & Style,SUPER SLICK SLIME SAM,903,Mexico,MX,Howto,786,15,111,"123,338,000","$30,800.00 ","$493,400.00 ","$370,000.00 ","$5,900,000.00 ","200,000",23-Jan-18,23.634501,-102.552784
436,Wow Kidz Action,"19,000,000","8,281,724,393",Film & Animation,Wow Kidz Action,"1,525",India,IN,Entertainment,618,78,111,"105,706,000","$26,400.00 ","$422,800.00 ","$317,100.00 ","$5,100,000.00 ","200,000",8-Nov-17,20.593684,78.96288
437,Turma da Mï¿½ï¿½,"19,000,000","13,824,277,846",Film & Animation,Turma da Mï¿½ï¿½,"1,154",Brazil,BR,Film,260,22,27,"76,903,000","$19,200.00 ","$307,600.00 ","$230,700.00 ","$3,700,000.00 ","100,000",30-Jul-12,-14.235004,-51.92528
438,Calvin Harris,"19,000,000","16,014,044,618",Music,Calvin Harris,79,United Kingdom,GB,Music,191,18,99,"102,410,000","$25,600.00 ","$409,600.00 ","$307,200.00 ","$4,900,000.00 ","100,000",11-Feb-07,55.378051,-3.435973
439,KBS WORLD TV,"19,000,000","15,126,092,508",Entertainment,KBS WORLD TV,"64,496",South Korea,KR,Entertainment,217,8,111,"107,989,000","$27,000.00 ","$432,000.00 ","$324,000.00 ","$5,200,000.00 ",0,6-Jan-07,35.907757,127.766922
440,HiMan,"18,900,000","2,855,519,150",People & Blogs,HiMan,375,Russia,RU,Entertainment,"3,094",4,112,"24,563,000","$6,100.00 ","$98,300.00 ","$73,700.00 ","$1,200,000.00 ",0,16-Oct-14,61.52401,105.318756
441,Masha e o Urso,"18,900,000","8,301,731,337",Shows,Masha e o Urso,0,NA,NA,NA,"4,057,944",NA,NA,NA,$0.00 ,$0.00 ,$0.00 ,$0.00 ,2,20-Feb-14,nan,nan
442,Little Angel Espaï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,"18,900,000","9,813,245,108",Education,Little Angel Espaï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,719,Mexico,MX,Education,459,16,24,"140,398,000","$35,100.00 ","$561,600.00 ","$421,200.00 ","$6,700,000.00 ",0,26-Jan-18,23.634501,-102.552784
443,TED-Ed,"18,800,000","3,654,621,568",Education,TED-Ed,"2,072",United States,US,Education,"2,163",117,25,"29,874,000","$7,500.00 ","$119,500.00 ","$89,600.00 ","$1,400,000.00 ","100,000",1-Mar-11,37.09024,-95.712891
